Timestamp,Age Range,Gender Identity,Education level ,Employment Status,How important to you are your security practices for different purposes of your internet usage?  [Entertainment],How important to you are your security practices for different purposes of your internet usage?  [Social],How important to you are your security practices for different purposes of your internet usage?  [Games],How important to you are your security practices for different purposes of your internet usage?  [Banking],How important to you are your security practices for different purposes of your internet usage?  [Shopping],How important to you are your security practices for different purposes of your internet usage?  [Education ],How important to you are your security practices for different purposes of your internet usage?  [Information ],How important to you are your security practices for different purposes of your internet usage?  [Email],"On a scale from 1 to 10, rate your awareness of security practices:",Please rate your familiarity with various security practices: [Use a strong password],Please rate your familiarity with various security practices: [Log off public computers],Please rate your familiarity with various security practices: [Back up important information],Please rate your familiarity with various security practices: [Protect your personal data],"Please rate your familiarity with various security practices: [Avoid pop-ups, unknown emails, and links]",Please rate your familiarity with various security practices: [Connect to secure Wi-Fi],Please rate your familiarity with various security topics: [Ransomware],Please rate your familiarity with various security topics: [Credential Stuffing],Please rate your familiarity with various security topics: [Social engineering],Please rate your familiarity with various security topics: [Phishing],Please rate your familiarity with various security topics: [Man-in-the-middle attack],"If you were offered an online free course about cybersecurity and privacy, would you be interested in joining the course?","If you would be interested in joining a course about cybersecurity and privacy, how much time are you willing to allocate during a day?",Do you use the same password for most of your accounts?,Do you share some of your passwords with your friends or family members? ,"If the bank calls you and asks for your password as verification, would you give it to them?","If you got an email to update your log in information via a link, would you click the link?",Would you pay to retrieve your data if you are the victim of a ransomware attack? 
4/6/2022 11:21:22,30 - 49,Woman,Bachelor degree,"Not employed, NOT looking for work",Slightly,Important,Slightly,Important,Important,Important,Important,Important,6,Mostly,Completely,Mostly,Completely,Completely,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,No,,Yes,No,No,No,No
4/6/2022 11:22:28,21 - 29,Woman,Bachelor degree,Employed,Slightly,Slightly,Slightly,Important,Important,Important,Important,Important,7,Mostly,Completely,Somewhat,Mostly,Mostly,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,No,Maybe
4/6/2022 11:28:48,30 - 49,Woman,Graduate degree,Employed,Not at all,Important,Slightly,Very,Fairly,Important,Important,Important,5,Mostly,Completely,Somewhat,Mostly,Mostly,Mostly,A Little Bit,A Little Bit,Somewhat,Mostly,Mostly,Maybe,Less than 10 minutes a day,Yes,No,No,No,No
4/6/2022 11:29:31,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Slightly,Very,Very,Important,Very,Very,9,Mostly,Completely,Mostly,Completely,Completely,Completely,A Little Bit,Somewhat,Completely,A Little Bit,Completely,Maybe,Between 10 and 30 minutes a day,No,No,No,No,No
4/6/2022 11:30:44,30 - 49,Woman,Bachelor degree,Employed,Slightly,Important,Not at all,Important,Important,Slightly,Important,Important,9,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Maybe,Less than 10 minutes a day,Yes,No,No,No,Maybe
4/6/2022 11:31:58,30 - 49,Woman,Graduate degree,Employed,Fairly,Very,Fairly,Important,Important,Important,Fairly,Important,6,Completely,Somewhat,Mostly,Mostly,Completely,Completely,Somewhat,Somewhat,Mostly,Mostly,Mostly,Maybe,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 11:38:12,30 - 49,Woman,High school degree or equivalent,Employed,Slightly,Very,Not at all,Fairly,Very,Very,Very,Very,8,Mostly,Completely,Completely,Completely,Completely,Mostly,A Little Bit,A Little Bit,Mostly,Mostly,Mostly,Yes,Between 10 and 30 minutes a day,No,No,No,No,No
4/6/2022 11:42:22,30 - 49,Woman,Bachelor degree,Employed,Slightly,Slightly,Important,Important,Slightly,Slightly,Slightly,Important,8,Completely,Completely,Mostly,Mostly,Completely,Completely,Completely,A Little Bit,Completely,Completely,Completely,Yes,Between 10 and 30 minutes a day,No,Yes,No,No,No
4/6/2022 11:44:14,30 - 49,Woman,Bachelor degree,"Not employed, NOT looking for work",Important,Important,Important,Important,Important,Important,Important,Important,7,Mostly,Completely,Completely,Completely,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Yes,Between 30 minutes and 1 hour a day,Yes,No,No,No,No
4/6/2022 11:45:37,30 - 49,Woman,Graduate degree,Employed,Not at all,Not at all,Not at all,Fairly,Important,Not at all,Not at all,Not at all,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,No,,Yes,Yes,No,No,No
4/6/2022 11:48:01,30 - 49,Woman,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,8,Completely,Completely,Mostly,Mostly,Completely,Mostly,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Yes,Between 10 and 30 minutes a day,No,No,No,No,No
4/6/2022 11:48:31,30 - 49,Woman,Graduate degree,"Not employed, looking for work",Fairly,Important,Important,Very,Very,Fairly,Very,Very,9,Completely,Mostly,Completely,Completely,Completely,Completely,Somewhat,Mostly,Mostly,A Little Bit,Mostly,Yes,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/6/2022 11:49:47,30 - 49,Woman,Bachelor degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,7,Mostly,Completely,Somewhat,Completely,Mostly,Mostly,A Little Bit,Somewhat,Mostly,Mostly,Mostly,Maybe,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 11:50:20,30 - 49,Woman,Graduate degree,Employed,Important,Important,Slightly,Important,Important,Slightly,Important,Important,8,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Mostly,Completely,Completely,Maybe,Less than 10 minutes a day,Yes,Yes,Yes,Yes,Yes
4/6/2022 11:51:14,21 - 29,Woman,Bachelor degree,"Not employed, NOT looking for work",Not at all,Fairly,Important,Very,Very,Important,Important,Very,7,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,Completely,Completely,No,,Yes,Yes,No,Yes,Maybe
4/6/2022 11:51:54,30 - 49,Woman,Graduate degree,"Not employed, looking for work",Fairly,Very,Fairly,Very,Very,Very,Very,Very,7,Completely,Completely,Completely,Completely,Mostly,Completely,A Little Bit,A Little Bit,A Little Bit,Mostly,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/6/2022 11:55:58,30 - 49,Woman,Bachelor degree,Employed,Important,Important,Fairly,Very,Very,Very,Very,Very,8,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Yes,Less than 10 minutes a day,Yes,Yes,No,No,Maybe
4/6/2022 12:01:03,30 - 49,Woman,Graduate degree,Employed,Fairly,Fairly,Fairly,Fairly,Fairly,Fairly,Fairly,Fairly,7,Somewhat,Completely,Somewhat,Somewhat,Completely,Mostly,Somewhat,Somewhat,Somewhat,Completely,Completely,Yes,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 12:01:37,30 - 49,Woman,Bachelor degree,"Not employed, looking for work",Slightly,Slightly,Not at all,Not at all,Slightly,Slightly,Slightly,Slightly,6,Mostly,Completely,Mostly,Mostly,Completely,Mostly,Mostly,Mostly,Completely,Mostly,Mostly,Yes,Between 10 and 30 minutes a day,Yes,No,No,Yes,Maybe
4/6/2022 12:03:25,30 - 49,Woman,Graduate degree,Employed,No Opinion,Fairly,No Opinion,Very,Very,No Opinion,No Opinion,Very,9,Completely,Completely,Completely,Mostly,Mostly,Completely,Completely,Completely,Completely,Completely,Completely,Maybe,Between 10 and 30 minutes a day,No,No,No,No,No
4/6/2022 12:09:03,30 - 49,Woman,Graduate degree,"Not employed, looking for work",Slightly,Slightly,Slightly,Important,Important,Important,Important,Important,8,Completely,Completely,Mostly,Completely,Completely,Mostly,A Little Bit,A Little Bit,Mostly,Mostly,Mostly,Yes,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 12:09:12,50 or older,Woman,Graduate degree,Retired,Important,Important,Not at all,Important,Not at all,Slightly,Important,Slightly,8,Completely,Somewhat,Somewhat,Completely,Completely,Completely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Maybe,Between 30 minutes and 1 hour a day,Yes,No,No,Yes,Maybe
4/6/2022 12:10:22,30 - 49,Woman,Graduate degree,Employed,Slightly,Important,Slightly,Important,Important,Important,Important,Important,7,Mostly,Completely,Completely,Mostly,Completely,Mostly,Mostly,Mostly,Completely,Completely,Completely,Maybe,Less than 10 minutes a day,No,No,No,No,Maybe
4/6/2022 12:10:27,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,9,Mostly,Completely,Mostly,Mostly,Completely,Completely,Mostly,Completely,Completely,Completely,Completely,Maybe,Between 30 minutes and 1 hour a day,No,No,No,No,Maybe
4/6/2022 12:14:02,30 - 49,Woman,Some college but no degree,Employed,No Opinion,Very,Important,No Opinion,Fairly,No Opinion,No Opinion,No Opinion,9,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,A Little Bit,Somewhat,A Little Bit,Somewhat,Somewhat,Yes,Between 10 and 30 minutes a day,Yes,Yes,No,Yes,Yes
4/6/2022 12:16:24,30 - 49,Woman,Graduate degree,Employed,Not at all,Important,Slightly,Slightly,Important,Important,Important,Important,6,A Little Bit,Somewhat,Mostly,Completely,Somewhat,Completely,A Little Bit,Somewhat,A Little Bit,A Little Bit,Somewhat,Yes,Between 10 and 30 minutes a day,Yes,Yes,No,No,Yes
4/6/2022 12:21:58,30 - 49,Woman,Graduate degree,"Not employed, looking for work",Fairly,Fairly,Slightly,Very,Very,Very,Very,Very,8,Mostly,Mostly,Mostly,Somewhat,Mostly,Mostly,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Maybe,Between 30 minutes and 1 hour a day,Yes,Yes,No,No,No
4/6/2022 12:25:06,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Not at all,Important,Important,Fairly,Fairly,Fairly,7,Completely,Completely,Mostly,Completely,Completely,Somewhat,Somewhat,Mostly,Mostly,Mostly,Mostly,Yes,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/6/2022 12:31:08,30 - 49,Woman,Graduate degree,Employed,Slightly,Slightly,Slightly,Slightly,Important,Important,Slightly,Slightly,5,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,No,,Yes,No,Yes,Yes,No
4/6/2022 12:33:48,30 - 49,Woman,Bachelor degree,Employed,Fairly,Fairly,Important,Important,Important,Important,Important,Important,9,Mostly,Somewhat,Somewhat,Mostly,Completely,Mostly,Mostly,Somewhat,Somewhat,Somewhat,Mostly,Yes,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 12:34:47,21 - 29,Woman,Bachelor degree,"Not employed, looking for work",Fairly,Important,Fairly,Important,Fairly,Important,Important,Important,8,Mostly,Completely,Somewhat,Completely,Completely,Completely,Somewhat,Somewhat,Completely,Completely,Somewhat,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,Maybe
4/6/2022 13:05:08,21 - 29,Woman,Graduate degree,Employed,Not at all,Slightly,Important,Important,Slightly,Important,Important,Slightly,9,Somewhat,Completely,Somewhat,Completely,Completely,Completely,Mostly,A Little Bit,Completely,Completely,Mostly,Yes,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/6/2022 13:05:40,30 - 49,Man,Some college but no degree,Employed,Very,Very,Very,Very,Very,Very,Very,Very,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Maybe,Between 30 minutes and 1 hour a day,Yes,No,No,No,No
4/6/2022 13:06:34,30 - 49,Man,Graduate degree,Employed,Very,Very,Very,Very,Very,Very,Very,Very,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 13:07:00,21 - 29,Woman,Bachelor degree,Employed,Slightly,Important,Not at all,Important,Important,Slightly,Important,Important,9,Mostly,Mostly,Somewhat,Mostly,Mostly,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Yes,Less than 10 minutes a day,Yes,No,No,No,Maybe
4/6/2022 13:08:30,50 or older,Woman,Graduate degree,Employed,Very,Very,Very,Very,Very,Very,Very,Very,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Somewhat,Somewhat,Completely,Somewhat,Yes,More than 1 hour a day,Yes,No,No,No,No
4/6/2022 13:08:58,50 or older,Man,Bachelor degree,Employed,Very,Very,Very,Very,Very,Very,Very,Very,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,More than 1 hour a day,No,No,No,No,No
4/6/2022 13:25:19,21 - 29,Woman,Graduate degree,Employed,Very,Very,Very,Very,Very,Very,Very,Very,3,Somewhat,Completely,Somewhat,Somewhat,A Little Bit,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/6/2022 13:25:32,30 - 49,Woman,Graduate degree,Employed,Very,Very,Very,No Opinion,Very,Very,No Opinion,No Opinion,9,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Mostly,Mostly,Mostly,Mostly,Yes,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 13:29:32,21 - 29,Man,Bachelor degree,Employed,Very,Very,Slightly,Fairly,Very,Very,Important,Very,10,Completely,Completely,Mostly,Mostly,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/6/2022 13:29:47,30 - 49,Man,Graduate degree,Employed,Not at all,Slightly,Slightly,Very,Very,Very,Very,Fairly,9,Mostly,A Little Bit,Somewhat,Mostly,A Little Bit,A Little Bit,Mostly,Completely,Mostly,Somewhat,Somewhat,Maybe,Between 10 and 30 minutes a day,No,No,No,No,No
4/6/2022 13:33:22,21 - 29,Woman,Bachelor degree,Employed,Fairly,Fairly,Fairly,Very,Fairly,Fairly,Very,Fairly,8,Completely,Completely,Mostly,Mostly,Completely,Completely,Somewhat,Somewhat,Completely,Completely,Completely,Maybe,Less than 10 minutes a day,No,Yes,No,No,Maybe
4/6/2022 13:33:32,21 - 29,Woman,Bachelor degree,"Not employed, looking for work",Important,Important,Important,Important,Slightly,Important,Important,Important,6,Somewhat,Somewhat,Mostly,Somewhat,Mostly,Somewhat,Somewhat,Mostly,Somewhat,Mostly,Somewhat,Yes,Between 10 and 30 minutes a day,Yes,No,No,Yes,No
4/6/2022 13:34:08,12 - 18,Woman,High school degree or equivalent,"Not employed, NOT looking for work",Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,7,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Yes,Between 30 minutes and 1 hour a day,Yes,Yes,Yes,Yes,Yes
4/6/2022 13:35:04,30 - 49,Woman,Graduate degree,Employed,Fairly,Fairly,Fairly,Fairly,Fairly,Fairly,Fairly,Fairly,9,Mostly,Somewhat,A Little Bit,Somewhat,Completely,Somewhat,A Little Bit,A Little Bit,A Little Bit,Mostly,Mostly,No,,Yes,No,No,Yes,No
4/6/2022 13:36:01,21 - 29,Woman,Graduate degree,"Not employed, looking for work",Important,Important,Slightly,Important,Important,Important,Important,Important,6,Somewhat,Completely,Mostly,Mostly,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Yes,Less than 10 minutes a day,Yes,No,No,No,Maybe
4/6/2022 13:38:44,12 - 18,Man,Bachelor degree,Employed,Fairly,Fairly,Fairly,Very,Fairly,Fairly,Very,Very,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Completely,Completely,Completely,No,,Yes,No,No,No,No
4/6/2022 13:40:29,30 - 49,Man,Bachelor degree,Employed,Important,Very,Fairly,Important,Important,Important,Important,Important,8,Somewhat,Completely,Mostly,Mostly,Completely,Somewhat,Somewhat,Mostly,Mostly,Completely,Somewhat,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,No,Maybe
4/6/2022 13:43:01,30 - 49,Woman,Graduate degree,Employed,Fairly,Very,Important,Very,Very,Fairly,Important,Fairly,8,Completely,Completely,Completely,Mostly,Completely,Completely,Completely,A Little Bit,A Little Bit,Completely,Completely,No,,No,Yes,No,No,Maybe
4/6/2022 14:05:06,30 - 49,Man,Graduate degree,Employed,Fairly,Fairly,Slightly,Very,Slightly,Very,Very,Very,9,Mostly,Completely,Mostly,Somewhat,Mostly,Somewhat,A Little Bit,A Little Bit,Somewhat,Somewhat,A Little Bit,Maybe,Between 10 and 30 minutes a day,No,Yes,No,Yes,Yes
4/6/2022 14:08:38,12 - 18,Man,Less than high school degree,Employed,Very,Very,Important,Very,Important,Important,Very,Very,8,Completely,Completely,Completely,Completely,Completely,Mostly,Completely,Completely,Completely,Completely,Completely,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/6/2022 14:12:22,30 - 49,Woman,Bachelor degree,Employed,Very,Very,Very,Very,Fairly,Fairly,Important,Very,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,No,,No,No,No,No,No
4/6/2022 14:22:54,30 - 49,Woman,Bachelor degree,"Not employed, looking for work",Fairly,Fairly,Fairly,Important,Important,Important,Important,Important,6,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,No,,Yes,No,No,No,No
4/6/2022 14:32:50,30 - 49,Man,Bachelor degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,8,Completely,Somewhat,Mostly,Somewhat,Completely,Mostly,Mostly,Somewhat,Mostly,Somewhat,Somewhat,Yes,Between 30 minutes and 1 hour a day,Yes,No,No,No,Maybe
4/6/2022 14:50:15,21 - 29,Woman,Bachelor degree,Employed,Important,Very,Important,Very,Very,Very,Very,Very,7,Mostly,Completely,Somewhat,Mostly,Completely,Somewhat,Completely,A Little Bit,Completely,Completely,Completely,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/6/2022 14:56:16,30 - 49,Man,Graduate degree,Employed,Very,Very,Fairly,Very,Very,Very,Fairly,Very,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Mostly,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/6/2022 15:08:34,30 - 49,Man,Bachelor degree,Employed,Slightly,Important,Slightly,Very,Very,Important,Very,Very,10,Completely,Completely,Somewhat,Mostly,Completely,Somewhat,Mostly,Somewhat,Completely,Completely,Completely,Maybe,Less than 10 minutes a day,Yes,Yes,No,Yes,Maybe
4/6/2022 15:08:37,21 - 29,Woman,Graduate degree,"Not employed, looking for work",Not at all,Slightly,Slightly,Slightly,Important,Slightly,Slightly,Slightly,10,Completely,Mostly,Mostly,Completely,Completely,Completely,Completely,Mostly,Completely,Somewhat,Completely,Yes,Less than 10 minutes a day,Yes,Yes,Yes,Yes,Yes
4/6/2022 15:10:19,30 - 49,Woman,Bachelor degree,"Not employed, looking for work",Important,Important,Important,Important,Important,Important,Important,Important,4,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Yes,More than 1 hour a day,No,Yes,No,Yes,Maybe
4/6/2022 15:14:26,21 - 29,Woman,Bachelor degree,"Not employed, NOT looking for work",Important,Slightly,Not at all,Not at all,Important,Important,Important,Slightly,6,Completely,Mostly,A Little Bit,Mostly,Mostly,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Less than 10 minutes a day,Yes,Yes,No,Yes,Maybe
4/6/2022 15:15:22,30 - 49,Woman,Bachelor degree,Employed,Fairly,Fairly,Fairly,Very,Important,No Opinion,Very,Important,6,Somewhat,Completely,Mostly,Mostly,Completely,Mostly,Somewhat,Somewhat,Mostly,Somewhat,Completely,Maybe,Between 30 minutes and 1 hour a day,Yes,No,No,No,No
4/6/2022 15:16:10,30 - 49,Woman,Bachelor degree,"Not employed, looking for work",Important,Important,Important,Important,Slightly,Fairly,Fairly,Fairly,6,Mostly,Mostly,Somewhat,Somewhat,Mostly,Somewhat,Completely,Mostly,Somewhat,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/6/2022 15:27:59,30 - 49,Man,Bachelor degree,Employed,Important,Fairly,Important,Fairly,Important,Important,Fairly,Fairly,9,Completely,Completely,Mostly,Mostly,Completely,Somewhat,Mostly,Somewhat,Completely,Completely,Mostly,Yes,More than 1 hour a day,Yes,No,No,No,No
4/6/2022 15:28:57,30 - 49,Man,Bachelor degree,Employed,Very,Very,Very,Very,Very,Very,Very,Very,9,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,No,,No,No,No,No,Maybe
4/6/2022 15:31:01,30 - 49,Man,Graduate degree,Employed,Slightly,Slightly,Not at all,Important,Important,Important,Important,Important,7,Mostly,A Little Bit,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,No,,No,No,No,No,No
4/6/2022 15:33:25,21 - 29,Woman,Bachelor degree,Employed,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,9,Mostly,Completely,Mostly,Completely,Completely,Completely,Somewhat,Somewhat,Completely,Completely,Mostly,Maybe,Between 10 and 30 minutes a day,No,No,No,No,No
4/6/2022 15:39:29,30 - 49,Man,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,9,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Yes,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/6/2022 15:48:04,21 - 29,Man,Some college but no degree,"Not employed, looking for work",Fairly,Fairly,Important,Very,Fairly,Fairly,Very,Very,6,Completely,Completely,Completely,Somewhat,Mostly,Mostly,Somewhat,A Little Bit,Somewhat,Completely,Mostly,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,Maybe
4/6/2022 15:49:47,18 - 21,Woman,Some college but no degree,Employed,Slightly,Very,Slightly,Very,Important,Fairly,Very,Very,6,Completely,Completely,Mostly,Mostly,Completely,Completely,Completely,A Little Bit,A Little Bit,Completely,Completely,Yes,Less than 10 minutes a day,Yes,Yes,No,Yes,Maybe
4/6/2022 15:50:09,18 - 21,Woman,Bachelor degree,Employed,Fairly,Very,Slightly,Very,Very,Fairly,Very,Very,5,Completely,Completely,Somewhat,Completely,Somewhat,A Little Bit,A Little Bit,A Little Bit,Completely,Somewhat,A Little Bit,Maybe,Less than 10 minutes a day,Yes,No,No,No,Maybe
4/6/2022 15:56:39,30 - 49,Woman,Graduate degree,"Not employed, NOT looking for work",Important,Very,Very,Very,Very,Very,Very,Very,10,A Little Bit,Completely,Somewhat,Mostly,Somewhat,Somewhat,Mostly,Mostly,Mostly,Mostly,Mostly,Yes,Less than 10 minutes a day,Yes,Yes,No,Yes,Maybe
4/6/2022 16:01:12,21 - 29,Woman,Bachelor degree,Employed,Fairly,Fairly,Important,Fairly,Fairly,Fairly,Very,Very,8,Somewhat,Completely,Somewhat,Mostly,Completely,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,No,Yes
