Timestamp,Age Range,Gender Identity,Education level ,Employment Status,How important to you are your security practices for different purposes of your internet usage?  [Entertainment],How important to you are your security practices for different purposes of your internet usage?  [Social],How important to you are your security practices for different purposes of your internet usage?  [Games],How important to you are your security practices for different purposes of your internet usage?  [Banking],How important to you are your security practices for different purposes of your internet usage?  [Shopping],How important to you are your security practices for different purposes of your internet usage?  [Education ],How important to you are your security practices for different purposes of your internet usage?  [Information ],How important to you are your security practices for different purposes of your internet usage?  [Email],"On a scale from 1 to 10, rate your awareness of security practices:",Please rate your familiarity with various security practices: [Use a strong password],Please rate your familiarity with various security practices: [Log off public computers],Please rate your familiarity with various security practices: [Back up important information],Please rate your familiarity with various security practices: [Protect your personal data],"Please rate your familiarity with various security practices: [Avoid pop-ups, unknown emails, and links]",Please rate your familiarity with various security practices: [Connect to secure Wi-Fi],Please rate your familiarity with various security topics: [Ransomware],Please rate your familiarity with various security topics: [Credential Stuffing],Please rate your familiarity with various security topics: [Social engineering],Please rate your familiarity with various security topics: [Phishing],Please rate your familiarity with various security topics: [Man-in-the-middle attack],"If you were offered an online free course about cybersecurity and privacy, would you be interested in joining the course?","If you would be interested in joining a course about cybersecurity and privacy, how much time are you willing to allocate during a day?",Do you use the same password for most of your accounts?,Do you share some of your passwords with your friends or family members? ,"If the bank calls you and asks for your password as verification, would you give it to them?","If you got an email to update your log in information via a link, would you click the link?",Would you pay to retrieve your data if you are the victim of a ransomware attack? 
4/6/2022 16:03:13,21 - 29,Man,Bachelor degree,"Not employed, NOT looking for work",Important,Important,Important,Important,Important,Important,Important,Important,8,Mostly,Mostly,Somewhat,Completely,Completely,Completely,Mostly,Mostly,Mostly,Mostly,Mostly,Yes,Between 30 minutes and 1 hour a day,Yes,No,No,No,Maybe
4/6/2022 16:05:41,18 - 21,Woman,Bachelor degree,"Not employed, NOT looking for work",Slightly,Important,Slightly,Important,Important,Important,Important,Important,8,Completely,Mostly,Completely,Completely,Somewhat,Mostly,A Little Bit,Completely,Mostly,Mostly,A Little Bit,Yes,Between 10 and 30 minutes a day,Yes,Yes,No,No,No
4/6/2022 16:33:54,30 - 49,Man,Graduate degree,Employed,Important,Important,Slightly,Fairly,Important,Important,Important,Fairly,6,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Completely,Completely,Completely,Mostly,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,Maybe
4/6/2022 16:50:23,30 - 49,Woman,Bachelor degree,Employed,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,8,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Mostly,Mostly,Mostly,Mostly,Mostly,Yes,Between 30 minutes and 1 hour a day,Yes,No,No,No,No
4/6/2022 16:55:52,21 - 29,Woman,Bachelor degree,Employed,Slightly,Important,Not at all,Important,Important,Important,Important,Important,6,Somewhat,Mostly,Mostly,Somewhat,A Little Bit,Mostly,A Little Bit,A Little Bit,A Little Bit,Somewhat,A Little Bit,Maybe,Less than 10 minutes a day,No,No,No,No,Maybe
4/6/2022 16:55:54,21 - 29,Man,Bachelor degree,"Not employed, NOT looking for work",Important,Slightly,Not at all,Important,Important,Important,Not at all,Not at all,4,Somewhat,Somewhat,Mostly,Mostly,Somewhat,Mostly,Somewhat,Mostly,Somewhat,Mostly,Somewhat,No,,No,No,No,Yes,Yes
4/6/2022 17:02:03,30 - 49,Woman,Bachelor degree,"Not employed, looking for work",Very,Very,Very,Very,Very,Very,Very,Very,9,Completely,Completely,Completely,Completely,Mostly,Mostly,A Little Bit,A Little Bit,Completely,Completely,A Little Bit,Yes,Less than 10 minutes a day,Yes,Yes,No,No,No
4/6/2022 17:06:20,30 - 49,Man,Graduate degree,Employed,Slightly,Slightly,Not at all,Important,Important,Important,Fairly,Important,10,Completely,Completely,Completely,Completely,Completely,Mostly,Completely,Completely,Completely,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,Yes,No,No,No,Maybe
4/6/2022 17:25:06,21 - 29,Man,Bachelor degree,Employed,Important,Important,Important,Fairly,Important,Important,Fairly,Fairly,7,Completely,Completely,Somewhat,Mostly,Completely,Completely,A Little Bit,A Little Bit,Somewhat,Completely,A Little Bit,Maybe,Less than 10 minutes a day,No,No,No,No,Maybe
4/6/2022 17:48:02,21 - 29,Woman,Bachelor degree,Employed,Slightly,Important,Not at all,Important,Slightly,Slightly,Important,Fairly,6,Mostly,Completely,Somewhat,Mostly,Completely,Somewhat,A Little Bit,A Little Bit,Somewhat,Mostly,A Little Bit,Maybe,Less than 10 minutes a day,No,No,No,No,No
4/6/2022 18:00:59,30 - 49,Woman,Bachelor degree,Employed,Important,Important,Slightly,Important,Important,Important,Important,Important,7,Somewhat,Completely,Mostly,Mostly,Mostly,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Maybe,Between 30 minutes and 1 hour a day,Yes,No,No,No,Maybe
4/6/2022 18:04:54,21 - 29,Woman,Bachelor degree,"Not employed, looking for work",Important,Important,Important,Important,Important,Important,Important,Important,7,Mostly,Completely,Completely,Completely,Completely,Completely,Mostly,Mostly,Mostly,Mostly,Mostly,Yes,Between 30 minutes and 1 hour a day,Yes,Yes,No,No,No
4/6/2022 18:18:33,30 - 49,Woman,Bachelor degree,Employed,Fairly,Fairly,Important,Very,Very,Fairly,Fairly,Fairly,4,Completely,Completely,Mostly,Mostly,Somewhat,Somewhat,Somewhat,Mostly,Somewhat,Completely,A Little Bit,Yes,Less than 10 minutes a day,Yes,Yes,No,No,Yes
4/6/2022 18:32:40,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Important,Important,Slightly,Important,Important,Important,3,Completely,Completely,Mostly,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,No,Maybe
4/6/2022 18:57:00,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Fairly,Very,Very,Fairly,Very,Very,7,Completely,Completely,Somewhat,Mostly,Mostly,Completely,Mostly,Somewhat,Completely,Completely,Completely,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/6/2022 19:16:16,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Not at all,Important,Important,Important,Important,Important,5,Mostly,Completely,Mostly,Completely,Completely,Mostly,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Less than 10 minutes a day,Yes,No,No,No,Maybe
4/6/2022 19:16:27,21 - 29,Woman,Graduate degree,"Not employed, NOT looking for work",Important,Slightly,Important,Important,Slightly,Not at all,Important,Slightly,8,Mostly,Completely,Completely,Mostly,Completely,Completely,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,Yes,Yes,Yes,Maybe
4/6/2022 19:28:35,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,5,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Less than 10 minutes a day,Yes,No,No,No,No
4/6/2022 19:31:05,21 - 29,Woman,Graduate degree,Employed,Fairly,Very,Not at all,Very,Fairly,Very,Very,Very,7,Mostly,Completely,Mostly,Mostly,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,No,,Yes,No,No,No,Yes
4/6/2022 19:36:30,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Slightly,Important,Important,Not at all,Important,Important,9,Completely,Completely,Mostly,Completely,Completely,Completely,A Little Bit,A Little Bit,Mostly,Completely,A Little Bit,Yes,Less than 10 minutes a day,No,Yes,No,No,Maybe
4/6/2022 19:52:23,21 - 29,Woman,Bachelor degree,Employed,Slightly,Important,Not at all,Important,Slightly,Important,Important,Important,5,Mostly,Completely,Mostly,Somewhat,Completely,Mostly,A Little Bit,A Little Bit,A Little Bit,Somewhat,A Little Bit,Yes,Between 10 and 30 minutes a day,No,No,No,No,No
4/6/2022 19:58:37,21 - 29,Woman,Bachelor degree,"Not employed, looking for work",Important,Important,Important,Important,Important,Important,Important,Important,6,Completely,Somewhat,Completely,Completely,Completely,Mostly,Completely,Mostly,Mostly,Completely,Mostly,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/6/2022 20:34:54,30 - 49,Woman,Graduate degree,Employed,Slightly,Very,Slightly,Very,Very,Very,Very,Very,9,Mostly,Completely,Mostly,Completely,Mostly,Somewhat,Somewhat,Somewhat,Completely,Mostly,Somewhat,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/6/2022 20:46:49,50 or older,Man,Graduate degree,Retired,Slightly,Slightly,Not at all,Important,Slightly,Important,Important,Slightly,10,Mostly,Mostly,Completely,Completely,Somewhat,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Yes,Between 30 minutes and 1 hour a day,Yes,Yes,No,No,Maybe
4/6/2022 21:02:04,21 - 29,Woman,Bachelor degree,"Not employed, NOT looking for work",Fairly,Slightly,Slightly,Very,Very,Important,Very,Very,8,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 21:49:24,21 - 29,Man,Some college but no degree,Employed,Not at all,Slightly,Slightly,Important,Important,Not at all,Slightly,Important,5,Completely,Somewhat,Somewhat,Somewhat,Completely,Somewhat,Mostly,Mostly,Somewhat,Somewhat,Somewhat,No,,Yes,No,No,No,Maybe
4/6/2022 22:36:34,30 - 49,Man,Bachelor degree,Employed,Very,Very,Fairly,Very,Very,Fairly,Important,Very,8,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,Yes,Between 10 and 30 minutes a day,No,Yes,No,No,No
4/6/2022 23:49:12,21 - 29,Woman,Bachelor degree,"Not employed, looking for work",Important,Important,Important,Important,Important,Important,Important,Important,7,Mostly,Completely,Mostly,Mostly,Mostly,Mostly,A Little Bit,A Little Bit,Somewhat,Completely,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/7/2022 0:00:30,21 - 29,Woman,Bachelor degree,Employed,Very,Very,Very,Very,Very,Very,Very,Very,8,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Somewhat,Completely,Somewhat,A Little Bit,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/7/2022 0:18:04,30 - 49,Woman,Bachelor degree,Employed,Slightly,Fairly,Slightly,Very,Very,Slightly,Slightly,Very,6,Completely,Completely,Somewhat,Mostly,Somewhat,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Less than 10 minutes a day,Yes,Yes,No,No,Maybe
4/7/2022 0:21:20,21 - 29,Woman,Bachelor degree,"Not employed, NOT looking for work",Slightly,Important,Slightly,Important,Important,Important,Important,Important,3,Completely,Completely,Completely,Mostly,Completely,Mostly,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,No,Yes,No,No
4/7/2022 0:34:45,21 - 29,Woman,Bachelor degree,Employed,Fairly,Fairly,Fairly,Very,Very,Very,Very,Fairly,9,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Somewhat,Mostly,Completely,Mostly,Maybe,Less than 10 minutes a day,Yes,No,No,No,No
4/7/2022 1:51:11,30 - 49,Woman,Graduate degree,Employed,Slightly,Important,Important,Important,Important,Slightly,Slightly,Important,5,A Little Bit,Somewhat,Somewhat,Somewhat,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Yes,Between 10 and 30 minutes a day,No,Yes,No,No,Maybe
4/7/2022 2:15:50,30 - 49,Woman,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,8,Completely,Mostly,Mostly,Completely,Completely,Completely,Completely,Mostly,Mostly,Completely,Mostly,Yes,Between 30 minutes and 1 hour a day,Yes,No,No,No,No
4/7/2022 2:50:03,30 - 49,Woman,Bachelor degree,Employed,Important,Very,Not at all,Slightly,Important,Not at all,Not at all,Not at all,5,Mostly,A Little Bit,A Little Bit,Completely,Completely,Completely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Maybe,Between 30 minutes and 1 hour a day,Yes,No,No,No,Maybe
4/7/2022 2:57:10,21 - 29,Woman,Bachelor degree,Employed,Fairly,Fairly,Fairly,Important,Important,Fairly,Important,Important,8,Mostly,Completely,Completely,Completely,Completely,Completely,Somewhat,Somewhat,A Little Bit,Somewhat,Somewhat,Maybe,Between 10 and 30 minutes a day,No,No,No,No,No
4/7/2022 3:02:18,21 - 29,Woman,Bachelor degree,"Not employed, looking for work",Very,Very,Important,Very,Important,Very,Very,Very,8,Completely,Completely,Completely,Mostly,Mostly,Completely,A Little Bit,A Little Bit,Completely,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/7/2022 3:53:51,30 - 49,Woman,Graduate degree,Employed,Important,Important,Not at all,Important,Important,Important,Important,Important,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/7/2022 4:07:38,21 - 29,Woman,Bachelor degree,Employed,Fairly,Very,Fairly,Very,Very,Very,Very,Very,9,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Maybe,More than 1 hour a day,No,No,No,No,Maybe
4/7/2022 4:29:31,30 - 49,Man,Bachelor degree,Employed,Important,Very,Fairly,Very,Very,Fairly,Very,Very,9,Somewhat,Completely,Mostly,Completely,Completely,Completely,Somewhat,A Little Bit,A Little Bit,Mostly,Somewhat,Yes,Between 10 and 30 minutes a day,Yes,Yes,No,No,No
4/7/2022 4:43:23,30 - 49,Man,Graduate degree,Employed,Fairly,Fairly,Fairly,Very,Very,Slightly,Important,Very,10,Completely,Completely,Somewhat,Completely,Completely,Completely,Completely,A Little Bit,Mostly,Completely,A Little Bit,No,,Yes,No,No,No,No
4/7/2022 5:22:18,30 - 49,Woman,Graduate degree,Employed,Important,Important,Slightly,Important,Important,Important,Important,Important,6,Mostly,Completely,Mostly,Completely,Completely,Completely,Completely,Mostly,Completely,Mostly,Completely,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/7/2022 5:24:02,30 - 49,Man,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,9,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,No,,No,No,No,No,No
4/7/2022 5:39:36,30 - 49,Man,Graduate degree,Employed,Slightly,Important,Not at all,Very,Very,Important,Very,Very,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/7/2022 6:15:50,30 - 49,Woman,Bachelor degree,"Not employed, looking for work",Fairly,Fairly,Important,Fairly,Fairly,Fairly,Important,Fairly,7,Somewhat,Completely,Mostly,Mostly,Mostly,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,No,No
4/7/2022 6:23:29,21 - 29,Woman,Bachelor degree,"Not employed, looking for work",Important,Important,Important,Important,Important,Important,Important,Important,8,Mostly,Mostly,Somewhat,Mostly,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Less than 10 minutes a day,Yes,No,No,Yes,Maybe
4/7/2022 7:05:17,30 - 49,Woman,Graduate degree,Employed,Slightly,Important,Slightly,Important,Slightly,Important,Important,Important,7,Completely,Completely,A Little Bit,Mostly,Completely,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 30 minutes and 1 hour a day,Yes,No,No,No,No
4/7/2022 7:19:12,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,7,Mostly,A Little Bit,Mostly,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,Between 10 and 30 minutes a day,No,Yes,No,No,Maybe
4/7/2022 7:28:07,18 - 21,Woman,Some college but no degree,Employed,Slightly,Slightly,Slightly,Very,Important,Fairly,Very,Very,2,Completely,Completely,Mostly,A Little Bit,Mostly,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Somewhat,A Little Bit,Maybe,Less than 10 minutes a day,Yes,Yes,No,No,Maybe
4/7/2022 7:35:41,30 - 49,Woman,Bachelor degree,Employed,Not at all,Not at all,Not at all,Important,Slightly,Important,Slightly,Slightly,9,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Mostly,Mostly,Mostly,Somewhat,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/7/2022 8:45:53,30 - 49,Woman,Bachelor degree,"Not employed, looking for work",Not at all,Not at all,Important,Fairly,Not at all,Important,Not at all,Important,6,Mostly,Somewhat,Mostly,Mostly,Somewhat,Mostly,Completely,Mostly,Somewhat,Mostly,Mostly,No,,Yes,Yes,No,Yes,No
4/7/2022 8:51:57,21 - 29,Woman,Bachelor degree,"Not employed, looking for work",Important,Important,Slightly,Important,Important,Important,Important,Important,5,Somewhat,Somewhat,Completely,Mostly,Mostly,Mostly,Mostly,Somewhat,Somewhat,Somewhat,Somewhat,Maybe,Between 30 minutes and 1 hour a day,Yes,No,No,Yes,Maybe
4/7/2022 10:44:39,30 - 49,Woman,Graduate degree,"Not employed, NOT looking for work",Very,Very,Fairly,Very,Fairly,Very,Very,Very,6,Completely,Completely,Mostly,Mostly,Completely,Somewhat,Somewhat,Somewhat,Somewhat,Mostly,Somewhat,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/7/2022 13:40:01,21 - 29,Woman,Graduate degree,"Not employed, looking for work",Very,Very,Very,Very,Very,Very,Very,Very,6,Completely,Completely,Mostly,Somewhat,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 30 minutes and 1 hour a day,Yes,No,No,No,Maybe
4/7/2022 13:45:44,21 - 29,Woman,Graduate degree,"Not employed, looking for work",Important,Important,Not at all,Slightly,Slightly,Important,Important,Important,6,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Somewhat,Completely,Mostly,Somewhat,Yes,Between 10 and 30 minutes a day,Yes,No,No,Yes,Maybe
4/7/2022 14:13:18,30 - 49,Woman,Graduate degree,Employed,Very,Very,Very,Very,Very,Very,Very,Very,6,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,Yes,Yes,No,No,Maybe
4/7/2022 16:12:19,12 - 18,Man,High school degree or equivalent,"Not employed, NOT looking for work",Very,Very,Very,No Opinion,Very,Very,Very,Very,6,Mostly,A Little Bit,Somewhat,Completely,A Little Bit,A Little Bit,Somewhat,Somewhat,Somewhat,A Little Bit,A Little Bit,Yes,Between 10 and 30 minutes a day,Yes,No,Yes,Yes,Maybe
4/7/2022 16:21:20,21 - 29,Woman,Bachelor degree,"Not employed, NOT looking for work",Very,Very,Important,Very,Very,Very,Important,Very,8,Mostly,Mostly,Mostly,Mostly,Completely,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,No,,Yes,Yes,No,No,Maybe
4/7/2022 17:13:36,50 or older,Man,Bachelor degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,9,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/7/2022 20:02:38,21 - 29,Woman,Bachelor degree,Employed,Not at all,Not at all,Not at all,Important,Slightly,Not at all,Slightly,Not at all,7,Mostly,Completely,Completely,Completely,Completely,Completely,Mostly,Completely,Completely,Mostly,Mostly,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,Yes,Yes
4/9/2022 14:53:35,30 - 49,Man,Graduate degree,Employed,Slightly,Important,Slightly,Important,Important,Slightly,Slightly,Important,7,Completely,Completely,Completely,Completely,Completely,Mostly,Completely,Mostly,Completely,Completely,A Little Bit,Maybe,Between 10 and 30 minutes a day,No,Yes,No,No,Maybe
4/9/2022 15:11:27,30 - 49,Woman,Graduate degree,Employed,Important,Important,Important,Very,Very,Important,Important,Fairly,6,Mostly,Completely,Completely,Completely,Somewhat,Somewhat,Somewhat,Somewhat,A Little Bit,Mostly,A Little Bit,No,,No,No,No,No,Maybe
4/10/2022 20:46:12,50 or older,Woman,Bachelor degree,"Not employed, NOT looking for work",Important,Important,Important,Important,Important,Important,Important,Important,3,Somewhat,Mostly,Somewhat,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Yes,Less than 10 minutes a day,Yes,Yes,No,No,Maybe
4/10/2022 21:04:49,30 - 49,Woman,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,8,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Completely,Mostly,Completely,Mostly,Maybe,Less than 10 minutes a day,No,No,No,No,Yes
4/11/2022 11:45:37,18 - 21,Woman,Some college but no degree,"Not employed, NOT looking for work",Important,Fairly,Slightly,Very,Very,Very,Very,Very,3,Completely,Completely,Completely,Somewhat,Somewhat,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,Yes,Yes,Yes,No
4/12/2022 1:22:46,30 - 49,Woman,Bachelor degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,8,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Yes,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/12/2022 11:40:21,50 or older,Man,Bachelor degree,Employed,Slightly,Important,Not at all,Very,Slightly,Important,Very,Very,6,Mostly,Completely,Somewhat,Mostly,Mostly,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,No,No,Yes,Maybe
4/12/2022 17:24:19,50 or older,Man,Bachelor degree,Employed,Very,Very,Fairly,Very,Fairly,Fairly,Fairly,Very,6,Mostly,Completely,Somewhat,Mostly,Mostly,Completely,Somewhat,A Little Bit,Somewhat,Mostly,Somewhat,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/18/2022 5:17:36,50 or older,Woman,Bachelor degree,Employed,Slightly,Slightly,Not at all,Very,Very,Slightly,Very,Very,5,Mostly,A Little Bit,Somewhat,Somewhat,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,No,Yes,Yes,Yes
4/21/2022 19:35:49,30 - 49,Woman,Graduate degree,Employed,Slightly,Important,Slightly,Important,Important,Slightly,Slightly,Slightly,8,Completely,Completely,Mostly,Mostly,Completely,Mostly,Mostly,Somewhat,Completely,Completely,Mostly,Yes,Between 10 and 30 minutes a day,Yes,No,No,No,No